รหัสนิสิต,ชื่อ-นามสกุล,เลขที่นั่ง,เลขที่นั่งจริง,ลงชื่อ
6770982721,STUDENT 134,1,,
6780838121,STUDENT 150,3,,
6615904921,STUDENT 012,4,,
6758178521,STUDENT 120,5,,
6788350121,STUDENT 157,6,,
6744049821,STUDENT 098,7,,
6608324421,STUDENT 011,8,,
6554997121,STUDENT 006,9,,
6769266421,STUDENT 133,10,,
6745501821,STUDENT 103,11,,
6745281721,STUDENT 101,12,,
6729019721,STUDENT 064,13,,
6778486021,STUDENT 147,14,,
6775002221,STUDENT 139,15,,
6653887921,STUDENT 016,16,,
6707436721,STUDENT 038,17,,
6736856021,STUDENT 083,18,,
6659432721,STUDENT 018,19,,
6716035921,STUDENT 048,20,,
6741131121,STUDENT 092,21,,
6659946721,STUDENT 019,22,,
6750849621,STUDENT 112,23,,
6707316721,STUDENT 037,24,,
6706973321,STUDENT 036,25,,
6709192421,STUDENT 040,26,,
6743121521,STUDENT 097,27,,
6727768521,STUDENT 063,28,,
6750371921,STUDENT 110,29,,
6776267821,STUDENT 142,32,,
6768838421,STUDENT 132,33,,
6740409321,STUDENT 088,34,,
6700892521,STUDENT 026,36,,
6733324621,STUDENT 072,37,,
6711558521,STUDENT 042,38,,
6529497821,STUDENT 002,39,,
6736528721,STUDENT 082,40,,
