รหัสนิสิต,ชื่อ-นามสกุล,เลขที่นั่ง,เลขที่นั่งจริง,ลงชื่อ
6782496221,STUDENT 152,1,,
6771706521,STUDENT 135,2,,
6525683421,STUDENT 001,3,,
6765577321,STUDENT 129,4,,
6735504721,STUDENT 077,5,,
6788647721,STUDENT 158,6,,
6721651121,STUDENT 058,7,,
6719541521,STUDENT 055,8,,
6724364021,STUDENT 060,9,,
6741279221,STUDENT 093,10,,
6719094021,STUDENT 054,11,,
6773761621,STUDENT 137,12,,
6733737021,STUDENT 074,13,,
6740488621,STUDENT 089,14,,
6663432921,STUDENT 021,15,,
6757345421,STUDENT 119,16,,
6713175321,STUDENT 045,17,,
6717551021,STUDENT 051,18,,
6736417521,STUDENT 081,19,,
6735532521,STUDENT 078,20,,
6775551921,STUDENT 140,21,,
6661823321,STUDENT 020,22,,
6589564321,STUDENT 010,23,,
6747284721,STUDENT 104,24,,
6625681521,STUDENT 013,25,,
6720893321,STUDENT 057,26,,
6703404621,STUDENT 028,27,,
6563016821,STUDENT 008,28,,
6779724521,STUDENT 149,29,,
6712395321,STUDENT 043,30,,
6726367621,STUDENT 061,31,,
6751769621,STUDENT 114,32,,
6789182321,STUDENT 160,34,,
6788874621,STUDENT 159,35,,
6705592821,STUDENT 033,37,,
6577312721,STUDENT 009,39,,
6701537221,STUDENT 027,40,,
